Tidsstempel,Participant A ID,Participant B ID,Perceived synchronicity A_LeadFollow,Own agency over movements A_LeadFollow,Others' agency over movements A_LeadFollow,Joint agency over movements A_LeadFollow,Perceived creativity A_LeadFollow,Perceived synchronicity B_LeadFollow,Perceived creativity B_LeadFollow,Own agency over movements B_LeadFollow,Others' agency over movements B_LeadFollow,Joint agency over movements B_LeadFollow,Perceived synchronicity A_FollowLead,Perceived creativity A_FollowLead,Own agency over movements A_FollowLead,Others' agency over movements A_FollowLead,Joint agency over movements A_FollowLead,Perceived synchronicity B_FollowLead,Perceived creativity B_FollowLead,Own agency over movements B_FollowLead,Others' agency over movements B_FollowLead,Joint agency over movements B_FollowLead,Perceived synchronicity A_JointLead,Perceived creativity A_JointLead,Own agency over movements A_JointLead,Others' agency over movements A_JointLead,Joint agency over movements A_JointLead,Perceived synchronicity B_JointLead,Perceived creativity B_JointLead,Own agency over movements B_JointLead,Others' agency over movements B_JointLead,Joint agency over movements B_JointLead,Perceived synchronicity A_Custom,Perceived creativity A_Custom,Own agency over movements A_Custom,Others' agency over movements A_Custom,Joint agency over movements A_Custom,Perceived synchronicity B_Custom,Perceived creativity B_Custom,Own agency over movements B_Custom,Others' agency over movements B_Custom,Joint agency over movements B_Custom,Describe the custom condition,Other notes
01/11/2023 08.26.53,A0,B0,5,5,2,2,3,4,6,1,7,1,3,5,1,7,2,4,6,7,1,1,6,4,2,6,4,6,5,4,4,5,4,7,4,4,3,4,5,4,4,5,Joint leading with cross-mirroring,phone of participant B was dropped twice in the first condition (lead follow)
01/11/2023 09.27.55,A1,B1,5,7,1,1,3,6,6,1,5,6,6,5,5,7,5,4,7,7,1,5,6,3,5,6,5,5,3,5,4,5,4,4,6,6,5,5,3,4,4,4,Default Custom,
01/11/2023 10.41.57,A2,B2,5,7,1,1,5,6,5,1,7,1,6,7,1,7,1,5,6,7,1,2,4,5,4,5,4,5,5,5,3,6,4,4,4,5,6,4,7,4,4,4,Default Costum,
01/11/2023 11.44.07,A3,B3,5,7,1,2,4,5,6,1,7,5,3,5,3,6,2,5,5,7,1,4,5,3,4,4,6,6,7,5,4,7,2,6,1,7,2,4,5,7,1,4,Joint leading with cross-mirroring,
01/11/2023 13.16.14,A4,B4,4,7,1,4,5,5,6,2,6,3,7,4,1,7,2,5,3,6,1,3,5,2,5,4,5,5,4,5,4,5,6,3,1,7,1,4,4,7,1,1,Joint leading with cross-mirroring,
01/11/2023 14.17.48,A12,B12,5,7,2,2,5,5,3,2,6,2,5,6,2,7,2,6,3,7,2,3,5,5,5,5,6,6,4,6,2,3,4,3,5,5,4,2,6,4,4,6,Default custom,
01/11/2023 15.34.07,A6,B6,3,6,1,2,3,3,4,3,6,4,5,6,1,7,1,4,4,6,3,4,5,4,3,5,5,5,5,5,5,6,6,5,1,7,1,4,5,7,1,1,Joint leading with cross-mirroring,
03/11/2023 08.30.27,A7,B7,5,7,1,2,5,5,5,1,6,2,6,5,3,6,2,5,5,7,1,2,4,6,4,4,3,5,5,3,5,5,5,4,1,7,1,4,4,7,1,1,B leads with closed eyes,
03/11/2023 09.27.07,A8,B8,4,7,1,1,3,5,7,3,7,3,6,5,1,7,1,7,5,7,2,6,3,3,5,4,4,4,5,6,4,7,3,1,4,3,3,3,5,4,5,4,Feet Joint Lead,
03/11/2023 13.19.54,A10,B10,3,7,1,1,5,5,5,1,7,3,3,2,3,7,5,6,4,6,2,4,5,3,5,5,6,6,6,5,5,6,3,5,2,7,3,3,5,7,1,2,A10 was looking at B10's back and inverse mirroring their movements,
03/11/2023 14.22.12,A5,B5,4,7,1,4,4,6,7,2,6,1,3,6,1,7,4,6,6,7,1,2,5,3,4,4,4,5,5,5,5,6,6,6,1,7,4,6,5,7,1,1,B leads with closed eyes ,
03/11/2023 16.56.57,A13,B13,5,7,1,7,3,6,2,2,5,3,3,5,1,7,7,3,1,7,1,4,3,6,4,4,5,5,7,4,4,6,6,7,5,3,6,5,6,4,4,6,Stand on one leg joint lead,
