Tidsstempel,I was a participant in the Mocap workshop,Participant ID,Gender,Age,I see myself as someone who... [... is reserved],I see myself as someone who... [... is generally trusting],I see myself as someone who... [... tends to be lazy],"I see myself as someone who... [... is relaxed, handles stress well]",I see myself as someone who... [... has few artistic interests],"I see myself as someone who... [... is outgoing, sociable]",I see myself as someone who... [... tends to find fault with others],I see myself as someone who... [... does a thorough job],I see myself as someone who... [... gets nervous easily],I see myself as someone who... [... has an active imagination], [I am confident I get the success I deserve in life], [Sometimes I feel depressed]," [When I try, I generally succeed]", [Sometimes when I fail I feel worthless], [I complete tasks successfully]," [Sometimes, I do not feel in control of my work]"," [Overall, I am satisfied with myself]", [I am filled with doubts about my competence], [I determine what will happen in my life], [I do not feel in control of my success in my career], [I am capable of coping with most of my problems], [There are times when things look pretty bleak and hopeless to me],Factor 1: Body Awareness  [I find it easy to learn new movements.],Factor 1: Body Awareness  [I feel like I have two left feet.],Factor 1: Body Awareness  [I find it easy to control my movements.],Factor 1: Body Awareness  [I am not very coordinated.],Factor 1: Body Awareness  [I am aware of my body and how I hold myself.],Factor 1: Body Awareness  [I find it easy to learn or imitate other people’s movements.],"Factor 2: Social Dancing [If someone asks me to dance, I usually say yes.]",Factor 2: Social Dancing [I would rather go to a pub than a club so that I do not have to dance.],Factor 2: Social Dancing [I like dancing in front of people.],Factor 2: Social Dancing [I find dancing really embarrassing.],Factor 2: Social Dancing [Dancing with other people is a great night out as far as I´m concerned.],Factor 2: Social Dancing [You normally have to drag me onto the dance floor because I’m not really sure what to do.],Question [I can easily tell if someone else wants to enter a conversation.],Question [I really enjoy caring for other people.],Question [I find it hard to know what to do in a social situation.],Question [I often find it difficult to judge if something is rude or polite.],"Question [In a conversation, I tend to focus on my own thoughts rather than on what my listener might be thinking.]",Question [I can pick up quickly if someone says one thing but means another.],Question [It is hard for me to see why some things upset people so much.],Question [I find it easy to put myself in somebody else’s shoes.],Question [I am good at predicting how someone will feel.],Question [I am quick to spot when someone in a group is feeling awkward or uncomfortable.],Question [I can’t always see why someone should have felt offended by a remark.],Question [I don’t tend to find social situations confusing.],Question [Other people tell me I am good at understanding how they are feeling and what they are thinking.],Question [I can easily tell if someone else is interested or bored with what I am saying.],Question [Friends usually talk to me about their problems as they say that I am very understanding.],"Question [I can sense if I am intruding, even if the other person doesn’t tell me.]","Question [Other people often say that I am insensitive, though I don’t always see why.a]",Question [I can tune into how someone else feels rapidly and intuitively.],Question [I can easily work out what another person might want to talk about.],Question [I can tell if someone is masking their true emotion.],Question [I am good at predicting what someone will do.],Question [I tend to get emotionally involved with a friend’s problems.]
07/11/2023 08.32.59,Nope,0,Female,21,Disagree strongly (2),Agree strongly (6),Agree a little (5),Agree a little (5),Agree a little (5),Agree a little (5),Agree a little (5),Agree strongly (6),Agree a little (5),Agree strongly (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Disagree (2),Agree (5),Agree (5),Agree (5),Strongly Disagree (2),Agree (5),Disagree (3),Strongly Agree (6),Strongly Agree (6),"Neither Agree, Nor Disagree (4)",Completely Agree (7),Strongly Agree (6),Agree (5),Strongly Agree (6),Agree (5),Completely Disagree (1),Completely Agree (7),Completely Disagree (1),Agree (5),Completely Disagree (1),Completely Agree (7),Strongly Agree (6),Strongly Agree (6),Strongly Disagree (2),Strongly Disagree (2),Agree (5),Agree (5),Strongly Disagree (2),Agree (5),Agree (5),Completely Agree (7),Disagree (3),Agree (5),Agree (5),Agree (5),Agree (5),Strongly Agree (6),Strongly Disagree (2),Agree (5),Agree (5),Agree (5),Agree (5),Agree (5)
07/11/2023 08.33.02,Nope,I didn't do the mirror game itself,Female,24,Agree strongly (6),Agree a little (5),Agree a little (5),Disagree a little (3),Disagree strongly (2),Disagree strongly (2),Agree a little (5),Agree strongly (6),Agree a little (5),Agree a little (5),Neutral (4),Agree (5),Neutral (4),Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Strongly Agree (6),Disagree (3),Agree (5),Disagree (3),Agree (5),"Neither Agree, Nor Disagree (4)","Neither Agree, Nor Disagree (4)","Neither Agree, Nor Disagree (4)",Agree (5),Disagree (3),Completely Disagree (1),Completely Agree (7),Completely Disagree (1),Completely Agree (7),Completely Disagree (1),Completely Agree (7),Agree (5),Agree (5),Agree (5),Disagree (3),Strongly Agree (6),Agree (5),Disagree (3),Agree (5),Agree (5),Strongly Agree (6),Agree (5),Neutral (4),Neutral (4),Strongly Agree (6),Completely Agree (7),Agree (5),Neutral (4),Disagree (3),Disagree (3),Neutral (4),Disagree (3),Neutral (4)
07/11/2023 08.33.36,Yep,A10,Female,23,Completely Disagree (1),Completely Agree (7),Disagree strongly (2),Agree strongly (6),Neither agree nor disagree (4),Completely Agree (7),Disagree strongly (2),Agree strongly (6),Disagree strongly (2),Agree strongly (6),Completely Agree (7),Completely Disagree (1),Strongly Agree (6),Strongly Disagree (2),Agree (5),Completely Disagree (1),Completely Agree (7),Completely Disagree (1),Completely Agree (7),Completely Disagree (1),Completely Agree (7),Completely Disagree (1),Completely Agree (7),Completely Disagree (1),Completely Agree (7),Completely Disagree (1),Completely Agree (7),Completely Agree (7),Completely Agree (7),Completely Disagree (1),Completely Agree (7),Completely Disagree (1),Completely Agree (7),Completely Disagree (1),Strongly Agree (6),Strongly Agree (6),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Disagree (3),Completely Disagree (1),Completely Agree (7),Strongly Agree (6),Strongly Agree (6),Strongly Disagree (2),Completely Agree (7),Agree (5),Strongly Agree (6),Strongly Agree (6),Completely Agree (7),Strongly Disagree (2),Strongly Agree (6),Neutral (4),Neutral (4),Agree (5),Completely Agree (7)
07/11/2023 08.33.44,Yep,A3,Male,24,Agree a little (5),Agree a little (5),Disagree a little (3),Disagree a little (3),Agree a little (5),Neither agree nor disagree (4),Agree strongly (6),Agree a little (5),Agree a little (5),Completely Agree (7),Agree (5),Strongly Agree (6),Agree (5),Strongly Agree (6),Strongly Agree (6),Agree (5),Neutral (4),Agree (5),Agree (5),Agree (5),Agree (5),Strongly Agree (6),Agree (5),Strongly Disagree (2),Agree (5),Disagree (3),Agree (5),Agree (5),"Neither Agree, Nor Disagree (4)",Agree (5),Strongly Disagree (2),Agree (5),"Neither Agree, Nor Disagree (4)",Agree (5),Strongly Agree (6),Completely Agree (7),Agree (5),Disagree (3),Disagree (3),Agree (5),Strongly Agree (6),Strongly Agree (6),Agree (5),Completely Agree (7),Strongly Agree (6),Neutral (4),Neutral (4),Agree (5),Agree (5),Strongly Agree (6),Disagree (3),Agree (5),Strongly Agree (6),Agree (5),Neutral (4),Neutral (4)
07/11/2023 08.34.23,Yep,B8,Female,21,Agree strongly (6),Completely Agree (7),Agree a little (5),Completely Disagree (1),Completely Agree (7),Agree a little (5),Agree a little (5),Agree a little (5),Agree strongly (6),Completely Agree (7),Agree (5),Strongly Agree (6),Completely Agree (7),Completely Agree (7),Strongly Agree (6),Completely Agree (7),Agree (5),Strongly Agree (6),Agree (5),Disagree (3),Neutral (4),Strongly Agree (6),Agree (5),"Neither Agree, Nor Disagree (4)",Disagree (3),Strongly Agree (6),Agree (5),Agree (5),Disagree (3),Completely Disagree (1),Agree (5),Disagree (3),Completely Agree (7),Strongly Disagree (2),Completely Agree (7),Completely Agree (7),Agree (5),Strongly Disagree (2),Neutral (4),Strongly Agree (6),Completely Disagree (1),Strongly Agree (6),Agree (5),Agree (5),Completely Disagree (1),Strongly Disagree (2),Neutral (4),Strongly Agree (6),Neutral (4),Agree (5),Completely Disagree (1),Agree (5),Strongly Agree (6),Neutral (4),Agree (5),Completely Agree (7)
07/11/2023 08.34.25,Nope,x,Male,25,Disagree a little (3),Agree strongly (6),Completely Disagree (1),Disagree strongly (2),Completely Disagree (1),Agree strongly (6),Neither agree nor disagree (4),Completely Agree (7),Agree strongly (6),Completely Agree (7),Agree (5),Disagree (3),Completely Agree (7),Disagree (3),Completely Agree (7),Disagree (3),Strongly Agree (6),Strongly Disagree (2),Neutral (4),Strongly Disagree (2),Agree (5),Disagree (3),Disagree (3),Disagree (3),Agree (5),"Neither Agree, Nor Disagree (4)","Neither Agree, Nor Disagree (4)","Neither Agree, Nor Disagree (4)",Completely Agree (7),Completely Disagree (1),Agree (5),Completely Disagree (1),Completely Agree (7),Completely Disagree (1),Completely Agree (7),Agree (5),Disagree (3),Completely Disagree (1),Disagree (3),Strongly Agree (6),Strongly Disagree (2),Completely Agree (7),Agree (5),Agree (5),Completely Disagree (1),Strongly Agree (6),Agree (5),Agree (5),Agree (5),Agree (5),Completely Disagree (1),Agree (5),Agree (5),Strongly Agree (6),Agree (5),Strongly Agree (6)
07/11/2023 08.34.30,Yep,7A,Male,22,Disagree a little (3),Agree strongly (6),Agree a little (5),Agree strongly (6),Disagree strongly (2),Agree strongly (6),Disagree strongly (2),Completely Agree (7),Agree a little (5),Agree a little (5),Strongly Agree (6),Neutral (4),Strongly Agree (6),Disagree (3),Strongly Agree (6),Disagree (3),Completely Agree (7),Strongly Disagree (2),Strongly Agree (6),Strongly Disagree (2),Strongly Agree (6),Disagree (3),Agree (5),Strongly Disagree (2),Agree (5),Disagree (3),Agree (5),Strongly Agree (6),Completely Agree (7),Disagree (3),Completely Agree (7),Completely Disagree (1),Strongly Agree (6),Strongly Disagree (2),Agree (5),Agree (5),Disagree (3),Strongly Disagree (2),Disagree (3),Agree (5),Disagree (3),Strongly Agree (6),Agree (5),Strongly Agree (6),Strongly Disagree (2),Strongly Agree (6),Agree (5),Agree (5),Agree (5),Agree (5),Strongly Disagree (2),Agree (5),Strongly Agree (6),Neutral (4),Agree (5),Disagree (3)
07/11/2023 08.34.41,Nope,myself,Female,24,Disagree a little (3),Agree a little (5),Agree a little (5),Disagree a little (3),Disagree a little (3),Completely Agree (7),Disagree a little (3),Agree a little (5),Disagree a little (3),Agree strongly (6),Completely Agree (7),Agree (5),Strongly Agree (6),Agree (5),Agree (5),Agree (5),Agree (5),Neutral (4),Completely Agree (7),Disagree (3),Agree (5),Agree (5),Completely Agree (7),Disagree (3),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Agree (5),"Neither Agree, Nor Disagree (4)","Neither Agree, Nor Disagree (4)",Agree (5),Disagree (3),Completely Agree (7),Disagree (3),Neutral (4),Agree (5),Disagree (3),Disagree (3),Disagree (3),Strongly Agree (6),Disagree (3),Agree (5),Agree (5),Neutral (4),Agree (5),Strongly Agree (6),Strongly Agree (6),Agree (5),Agree (5),Agree (5),Disagree (3),Agree (5),Neutral (4),Agree (5),Neutral (4),Strongly Agree (6)
07/11/2023 08.34.45,Nope,0,Female,19,Completely Disagree (1),Agree strongly (6),Disagree strongly (2),Agree strongly (6),Agree a little (5),Agree a little (5),Disagree strongly (2),Agree a little (5),Disagree strongly (2),Neither agree nor disagree (4),Strongly Agree (6),Strongly Disagree (2),Strongly Agree (6),Strongly Disagree (2),Strongly Agree (6),Strongly Disagree (2),Agree (5),Strongly Disagree (2),Agree (5),Strongly Disagree (2),Strongly Agree (6),Strongly Disagree (2),Strongly Agree (6),Strongly Disagree (2),Agree (5),Disagree (3),Agree (5),"Neither Agree, Nor Disagree (4)","Neither Agree, Nor Disagree (4)","Neither Agree, Nor Disagree (4)",Strongly Disagree (2),Agree (5),Strongly Agree (6),Strongly Disagree (2),Strongly Agree (6),Agree (5),Strongly Disagree (2),Strongly Disagree (2),Neutral (4),Strongly Disagree (2),Strongly Disagree (2),Agree (5),Agree (5),Strongly Agree (6),Strongly Disagree (2),Agree (5),Agree (5),Strongly Agree (6),Strongly Agree (6),Agree (5),Strongly Disagree (2),Agree (5),Neutral (4),Disagree (3),Neutral (4),Strongly Disagree (2)
07/11/2023 08.34.56,Yep,B01,Female,23,Disagree strongly (2),Neither agree nor disagree (4),Neither agree nor disagree (4),Disagree a little (3),Completely Disagree (1),Agree a little (5),Disagree a little (3),Agree a little (5),Agree strongly (6),Agree strongly (6),Neutral (4),Strongly Agree (6),Agree (5),Agree (5),Neutral (4),Agree (5),Strongly Disagree (2),Strongly Agree (6),Neutral (4),Agree (5),Strongly Disagree (2),Completely Agree (7),"Neither Agree, Nor Disagree (4)",Agree (5),"Neither Agree, Nor Disagree (4)",Disagree (3),Agree (5),Agree (5),Agree (5),"Neither Agree, Nor Disagree (4)",Strongly Disagree (2),"Neither Agree, Nor Disagree (4)",Agree (5),Disagree (3),Strongly Agree (6),Strongly Agree (6),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Completely Agree (7),Disagree (3),Strongly Agree (6),Agree (5),Strongly Agree (6),Neutral (4),Strongly Agree (6),Strongly Agree (6),Agree (5),Strongly Agree (6),Strongly Agree (6),Completely Disagree (1),Strongly Agree (6),Agree (5),Strongly Agree (6),Strongly Agree (6),Agree (5)
