"Participant ID","Gender","Age","EQ_score","Factor1_BodyAwareness_score","Factor2_SocialDancing_score","DTW_Type","DTW_Value"
"A10","Female",23,146,48,51,"DTW_jointlead",NA
"A10","Female",23,146,48,51,"DTW_leadfollow",NA
"A3","Male",24,124,37,28,"DTW_jointlead",10504.9522856795
"A3","Male",24,124,37,28,"DTW_leadfollow",4656.29830323194
"B8","Female",21,136,30,42,"DTW_jointlead",NA
"B8","Female",21,136,30,42,"DTW_leadfollow",4141.43367964249
"A7","Male",22,132,38,47,"DTW_jointlead",NA
"A7","Male",22,132,38,47,"DTW_leadfollow",NA
"B1","Female",23,145,32,34,"DTW_jointlead",7726.23950492017
"B1","Female",23,145,32,34,"DTW_leadfollow",4406.98131964075
"B4","Male",25,98,26,21,"DTW_jointlead",NA
"B4","Male",25,98,26,21,"DTW_leadfollow",1250.46533931543
"B12","Male",23,118,27,36,"DTW_jointlead",2261.42711288663
"B12","Male",23,118,27,36,"DTW_leadfollow",12795.8149093981
"A8","Female",20,132,37,44,"DTW_jointlead",NA
"A8","Female",20,132,37,44,"DTW_leadfollow",4141.43367964249
"A2","Female",20,144,32,41,"DTW_jointlead",3658.87615664543
"A2","Female",20,144,32,41,"DTW_leadfollow",7351.84665714373
"B6","Male",23,120,26,38,"DTW_jointlead",8116.31688933778
"B6","Male",23,120,26,38,"DTW_leadfollow",3430.91718406824
"B0","Female",22,138,36,43,"DTW_jointlead",6143.10505202607
"B0","Female",22,138,36,43,"DTW_leadfollow",5989.5096804719
"A4","Male",20,115,38,41,"DTW_jointlead",NA
"A4","Male",20,115,38,41,"DTW_leadfollow",1250.46533931543
"B5","Female",21,136,37,45,"DTW_jointlead",NA
"B5","Female",21,136,37,45,"DTW_leadfollow",NA
"B13","Male",21,135,25,15,"DTW_jointlead",7367.59364139184
"B13","Male",21,135,25,15,"DTW_leadfollow",6557.40626090015
"A13","Male",26,142,39,18,"DTW_jointlead",7367.59364139184
"A13","Male",26,142,39,18,"DTW_leadfollow",6557.40626090015
"A0","Female",24,134,34,50,"DTW_jointlead",6143.10505202607
"A0","Female",24,134,34,50,"DTW_leadfollow",5989.5096804719
"A12","Male",23,117,38,34,"DTW_jointlead",2261.42711288663
"A12","Male",23,117,38,34,"DTW_leadfollow",12795.8149093981
"B10","Female",23,124,30,40,"DTW_jointlead",NA
"B10","Female",23,124,30,40,"DTW_leadfollow",NA
"A6","Female",23,118,32,42,"DTW_jointlead",8116.31688933778
"A6","Female",23,118,32,42,"DTW_leadfollow",3430.91718406824
"B2","Female",23,143,44,43,"DTW_jointlead",3658.87615664543
"B2","Female",23,143,44,43,"DTW_leadfollow",7351.84665714373
"A5","Female",26,135,31,19,"DTW_jointlead",NA
"A5","Female",26,135,31,19,"DTW_leadfollow",NA
"A1","Female",23,131,31,37,"DTW_jointlead",7726.23950492017
"A1","Female",23,131,31,37,"DTW_leadfollow",4406.98131964075
"B7","Male",22,127,30,33,"DTW_jointlead",NA
"B7","Male",22,127,30,33,"DTW_leadfollow",NA
"B3","Female",23,123,24,42,"DTW_jointlead",10504.9522856795
"B3","Female",23,123,24,42,"DTW_leadfollow",4656.29830323194
