DF_Name,DTW_Component_1,DTW_Component_2,Weighted_DTW_Component_1,Weighted_DTW_Component_2,DTW_Sum
group0_jointlead_A,3139.9834092689616,9146.226694783169,1852.5902114686874,3749.9529448610992,5602.543156329786
group0_leadfollow_A,1759.1753878307852,10219.843973113022,1113.5580204968871,3750.682738132479,4864.240758629366
group12_jointlead_A,2820.8735326883802,1701.9806930848863,2126.9386436470386,418.687250498882,2545.6258941459205
group1_jointlead_A,4409.42555935789,11043.053450482448,2248.807035272524,5411.0961907364,7659.903226008924
group1_leadfollow_A,1660.5455975263226,7153.417041755182,1167.3635550610047,2124.5648614012894,3291.928416462294
group2_jointlead_A,3139.5712290093284,4178.181084281523,1381.4113407641046,2339.781407197653,3721.192747961758
group3_jointlead_A,2725.307015627512,18284.597555731543,2082.1345599394194,4315.165023152644,6397.299583092063
group3_leadfollow_A,1079.0969939034696,8233.499612560407,557.8931458480938,3976.7803128666765,4534.67345871477
group4_leadfollow_A,659.326374650635,1841.6043039802312,380.43131817341634,778.9986205836378,1159.429938757054
group6_jointlead_A,5823.59634555262,10409.037433122945,2970.0341362318363,5100.428342230243,8070.462478462079
group6_leadfollow_A,3157.9037713444873,3703.9305967919845,1973.6898570903045,1388.9739737969942,3362.663830887299
group8_leadfollow_A,5507.588575612475,2775.2787836724997,3051.2040708893114,1237.7743375179348,4288.978408407246
