Component_A,Component_B,PCA_Component,DTW_Distance
group0_leadfollow_A,group0_leadfollow_B,1,1113.5580204968871
group0_leadfollow_A,group0_leadfollow_B,1,5787.049432935635
group0_leadfollow_A,group1_leadfollow_B,1,6123.743825790278
group0_leadfollow_A,group1_leadfollow_B,1,8258.039730683582
group0_leadfollow_A,group3_leadfollow_B,1,5914.9772585400015
group0_leadfollow_A,group3_leadfollow_B,1,4507.115016901479
group0_leadfollow_A,group4_leadfollow_B,1,9035.036809368874
group0_leadfollow_A,group4_leadfollow_B,1,8999.346380548586
group0_leadfollow_A,group6_leadfollow_B,1,5381.048771198832
group0_leadfollow_A,group6_leadfollow_B,1,4054.6313650964794
group0_leadfollow_A,group8_leadfollow_B,1,7337.967540736746
group0_leadfollow_A,group8_leadfollow_B,1,4560.486439065444
group0_leadfollow_A,group0_leadfollow_B,2,3467.6685034881507
group0_leadfollow_A,group0_leadfollow_B,2,3750.682738132479
group0_leadfollow_A,group1_leadfollow_B,2,3220.677055224694
group0_leadfollow_A,group1_leadfollow_B,2,2711.126706133263
group0_leadfollow_A,group3_leadfollow_B,2,2898.7933932844
group0_leadfollow_A,group3_leadfollow_B,2,1831.8445079624457
group0_leadfollow_A,group4_leadfollow_B,2,3685.4290378070054
group0_leadfollow_A,group4_leadfollow_B,2,4019.410845267002
group0_leadfollow_A,group6_leadfollow_B,2,3177.8699696866006
group0_leadfollow_A,group6_leadfollow_B,2,1923.7544182920083
group0_leadfollow_A,group8_leadfollow_B,2,5243.615538250338
group0_leadfollow_A,group8_leadfollow_B,2,2171.628424250761
group1_leadfollow_A,group0_leadfollow_B,1,5755.390577322543
group1_leadfollow_A,group0_leadfollow_B,1,8258.522616492606
group1_leadfollow_A,group1_leadfollow_B,1,1167.3635550610047
group1_leadfollow_A,group1_leadfollow_B,1,8002.628457500298
group1_leadfollow_A,group3_leadfollow_B,1,4601.3723885008785
group1_leadfollow_A,group3_leadfollow_B,1,6093.18094832544
group1_leadfollow_A,group4_leadfollow_B,1,7952.310781214392
group1_leadfollow_A,group4_leadfollow_B,1,12521.832754094481
group1_leadfollow_A,group6_leadfollow_B,1,5379.405219704018
group1_leadfollow_A,group6_leadfollow_B,1,7054.264941178922
group1_leadfollow_A,group8_leadfollow_B,1,9932.193733197259
group1_leadfollow_A,group8_leadfollow_B,1,5156.618787223782
group1_leadfollow_A,group0_leadfollow_B,2,4370.49251109206
group1_leadfollow_A,group0_leadfollow_B,2,1997.1706987043901
group1_leadfollow_A,group1_leadfollow_B,2,5287.45068265658
group1_leadfollow_A,group1_leadfollow_B,2,2124.5648614012894
group1_leadfollow_A,group3_leadfollow_B,2,5903.887079503465
group1_leadfollow_A,group3_leadfollow_B,2,4003.259471293134
group1_leadfollow_A,group4_leadfollow_B,2,5264.513448330566
group1_leadfollow_A,group4_leadfollow_B,2,1940.4279146626318
group1_leadfollow_A,group6_leadfollow_B,2,4055.8241113923636
group1_leadfollow_A,group6_leadfollow_B,2,3302.500171962945
group1_leadfollow_A,group8_leadfollow_B,2,2859.012510574342
group1_leadfollow_A,group8_leadfollow_B,2,3421.9758125737603
group3_leadfollow_A,group0_leadfollow_B,1,4721.717564661933
group3_leadfollow_A,group0_leadfollow_B,1,6701.109263081462
group3_leadfollow_A,group1_leadfollow_B,1,3149.2074846319592
group3_leadfollow_A,group1_leadfollow_B,1,7539.374683220915
group3_leadfollow_A,group3_leadfollow_B,1,557.8931458480938
group3_leadfollow_A,group3_leadfollow_B,1,5094.7768424029755
group3_leadfollow_A,group4_leadfollow_B,1,6909.3327356329755
group3_leadfollow_A,group4_leadfollow_B,1,6909.723590678394
group3_leadfollow_A,group6_leadfollow_B,1,2764.4823866866145
